id	version	q1.food	q2.water	q3.rest.dis	q4.therm.dis	q5.res.mov	q6.injury	q7.disease	q8.pain	q9.norm.behav	q10.other.behav	q11.neg.affect	q12.pos.affect	confidence	origin	categ																																																				
R_1r6yo1qxQZVuiOO	2	4	5	6	5	6	6	5	6	6	5	6	6	4	d	red.m																																																				
R_W3AKNfpPvb8BGzn	2	7	5	6	7	7	7	5	7	7	7	7	5	3	d	red.m																																																				
R_2ZHLhFYQqEx9hoS	2	3	1	3	3	3	3	3	3	3	4	3	5	5	d	red.m																																																				
R_3GlEx8W9ySCDRdU	2	3	1	3	3	2	2	3	3	3	4	3	3	5	d	red.m																																																				
R_2EgSAOztzsBHzrD	2	3	2	2	3	3	2	2	5	2	3	3	5	2	d	red.m																																																				
R_2BboHMYMIvBrldB	2	4	4	6	5	6	5	5	5	6	6	5	5	4	d	red.m																																																				
R_3R93J87oMj56oGk	2	7	6	7	4	4	3	5	7	5	2	4	3	4	d	red.m																																																				
R_3iVFMG5FpActOmI	2	6	3	5	4	6	3	4	7	6	6	6	6	4	d	red.m																																																				
R_3NP3YJgpOD2Aieo	3	6	1	4	4	5	1	4	5	4	4	4	5	3	d	red.m																																																				
R_3EsDQMtCoovYb0c	3	5	4	4	2	5	3	7	3	4	5	5	5	3	d	red.m																																																				
R_8BaZEtzALcB7tDP	3	5	3	7	3	7	7	3	5	4	6	7	7	5	d	red.m																																																				
R_SJcsQO0rhhHesxz	3	5	2	5	3	5	4	3	3	2	6	4	5	4	d	red.m																																																				
R_33DrtwdUrnQRDk9	3	5	3	6	3	6	6	6	6	7	7	6	6	5	d	red.m																																																				
R_322x7bkZvTtB4RM	3	7	3	3	3	3	3	3	7	2	6	6	3	5	d	red.m																																																				
R_2B9AqctUCavJZnr	3	4	2	6	3	5	4	4	5	4	7	4	4	4	d	red.m																																																				
R_2AThK0ypdznN22o	3	5	5	5	5	5	3	4	6	3	3	4	3	4	d	red.m																																																				
R_5C6RdnjBcMIpB5L	3	4	1	2	5	6	2	5	6	7	6	4	6	4	d	red.m																																																				
R_3JgDxLQGZ06U9tk	3	6	2	5	5	6	4	6	6	6	6	6	6	3	d	red.m																																																				
R_10GwBf8xQR0cr8h	3	6	3	2	7	2	4	6	4	3	7	4	7	3	d	red.m																																																				
R_1g89TflcmEq5dyW	3	3	3	6	5	6	3	3	3	6	6	5	7	4	d	red.m																																																				
R_6xRxRoMMEyuM5y1	3	4	1	3	3	5	5	5	3	5	6	5	5	2	d	red.m																																																				
R_1CfLlEXlcLwcKCA	3	2	1	1	1	1	1	2	2	2	2	1	2	3	d	red.m																																																				
R_urE3aBaJrepGdmF	3	5	2	1	6	5	3	7	6	4	5	4	6	4	d	red.m																																																				
R_3D5Dfp9dK7wkK8n	3	2	2	2	1	3	1	4	3	3	3	2	2	2	d	red.m																																																				
R_3Dc0ailmijra0bu	3	2	2	3	2	3	3	7	7	2	6	3	2	5	d	red.m																																																				
R_30pjztGP5OEKaFS	3	4	3	2	3	5	3	5	4	3	4	3	3	4	d	red.m																																																				
R_2TtPSAdmUztT7wL	3	5	3	4	4	7	2	7	5	7	6	6	6	3	d	red.m																																																				
R_UJuQ2MPz1AApbY5	3	2	2	4	1	3	2	2	2	3	2	2	4	3	d	red.m																																																				
R_0Pw4SJH7Rmy4GAh	4	7	7	6	6	7	5	6	5	7	7	7	6	4	d	red.m																																																				
R_af1DrCKPNZbG4Zr	4	7	3	3	3	3	3	2	7	6	4	3	4	4	d	red.m																																																				
R_TuBpgV2dDwtQ1Jn	4	4	3	2	1	5	1	3	7	5	7	5	5	4	d	red.m																																																				
R_1Lhbp5lsxdTp4Xh	4	7	5	6	4	5	4	4	5	6	7	7	6	3	d	red.m																																																				
R_32WTW3i3e1AcfJj	4	6	2	6	6	5	5	4	4	2	6	6	6	5	d	red.m																																																				
R_2X4gv5JfatTuCHj	4	3	1	3	1	4	2	1	3	6	6	3	3	3	d	red.m																																																				
R_d7ilf18tbKr7ddv	4	7	5	4	7	7	2	4	7	7	7	7	7	5	d	red.m																																																				
R_3sh8WYaTYtmA54s	4	2	2	3	2	4	3	3	3	3	3	2	4	5	d	red.m																																																				
R_3QVJhduPxthkl0G	4	4	1	4	2	4	4	4	7	5	7	5	5	4	d	red.m																																																				
R_2Ym7AwqfCagMAZJ	4	4	2	3	3	3	2	4	2	2	4	2	2	4	d	red.m																																																				
R_1LG5JfAQifGKUuO	4	7	1	2	2	1	2	5	7	2	2	3	5	4	d	red.m																																																				
R_2vY58O2e0m6LTo0	4	3	2	3	1	4	4	2	1	3	4	3	3	3	d	red.m																																																				
R_A0BOXJFQzTAtxYJ	4	2	1	1	2	3	3	6	7	1	6	3	5	4	d	red.m																																																				
